KEGG ID,Label,ID
C05067,_3E_3_Enoyl__CoA,_3E_3_Enoyl__CoA
C01271,_3R_3_Hydroxyacyl_acyl_carrier_protein,_3R_3_Hydroxyacyl_acyl_carrier_protein
C00640,_3S_3_Hydroxyacyl_CoA,_3S_3_Hydroxyacyl_CoA
C00008,ADP,ADP
C00020,AMP,AMP
C00002,ATP,ATP
C00033,Acetate,Acetate
C00332,AcetoAcetylCoA,AcetoAcetylCoA
C05744,Acetoacetyl_acp,Acetoacetyl_acp
C00024,AcetylCoA,AcetylCoA
C00227,Acetyl_phosphate,Acetyl_phosphate
C00173,Acyl_acyl_carrier_protein,Acyl_acyl_carrier_protein
C00229,Acyl_carrier_protein,Acyl_carrier_protein
C00014,Ammonia,Ammonia
C00011,CO2,CO2
C00158,Citrate,Citrate
C00010,CoA,CoA
C00279,D_Erythrose_4_phosphate,D_Erythrose_4_phosphate
C00354,D_Fructose_1_6_bisphosphate,D_Fructose_1_6_bisphosphate
C00085,D_Fructose_6_phosphate,D_Fructose_6_phosphate
C01236,D_Glucono_1_5_lactone_6_phosphate,D_Glucono_1_5_lactone_6_phosphate
C01172,DGlucose6phosphate,DGlucose6phosphate
C00103,D_Glucose_1_phosphate,D_Glucose_1_phosphate
C00092,DGlucose6phosphate,DGlucose6phosphate
C00118,D_Glyceraldehyde_3_phosphate,D_Glyceraldehyde_3_phosphate
C00117,D_ribose_5_phosphate,D_ribose_5_phosphate
C00199,D_Ribulose_5_phosphate,D_Ribulose_5_phosphate
C00231,D_Xylulose_5_phosphate,D_Xylulose_5_phosphate
C00013,Diphosphate,Diphosphate
C00122,Fumarate,Fumarate
C00111,Glycerone_phosphate,Glycerone_phosphate
C00037,Glycine,Glycine
C00048,Glyoxylate,Glyoxylate
C00001,H2O,H2O
C00288,HCO3,HCO3
C00530,Hydroquinone,Hydroquinone
C00311,Isocitrate,Isocitrate
C00065,L_Serine,L_Serine
C02843,LongchainacylCoA,LongchainacylCoA
C00638,Long_chain_fatty_acid,Long_chain_fatty_acid
C00083,Malonyl_CoA,Malonyl_CoA
C01209,Malonyl_acyl_carrier_protein,Malonyl_acyl_carrier_protein
C00003,NAD,NAD
C00004,NADH,NADH
C00006,NADP,NADP
C00005,NADPH,NADPH
C00454,NDP,NDP
C00201,NTP,NTP
C00009,Orthophosphate,Orthophosphate
C00036,Oxaloacetate,Oxaloacetate
C05379,Oxalosuccinate,Oxalosuccinate
C00074,Phosphoenolpyruvate,Phosphoenolpyruvate
C00022,Pyruvate,Pyruvate
C00472,Quinone,Quinone
C00186,S_Lactate,S_Lactate
C00149,SMalate,SMalate
C05382,Sedoheptulose_7_phosphate,Sedoheptulose_7_phosphate
C00369,Starch,Starch
C00042,Succinate,Succinate
C00091,SuccinylCoA,SuccinylCoA
C00101,Tetrahydrofolate,Tetrahydrofolate
C00718,_1_4_alpha_D_Glucan,_1_4_alpha_D_Glucan
C00026,n2Oxoglutarate,n2Oxoglutarate
C00631,_2_Phospho_D_glycerate,_2_Phospho_D_glycerate
C00264,_3_Oxoacyl_CoA,_3_Oxoacyl_CoA
C00685,_3_Oxoacyl_acyl_carrier_protein,_3_Oxoacyl_acyl_carrier_protein
C00197,_3_Phospho_D_glycerate,_3_Phospho_D_glycerate
C00236,_3_Phospho_D_glyceroyl_phosphate,_3_Phospho_D_glyceroyl_phosphate
C00143,_5_10_Methylenetetrahydrofolate,_5_10_Methylenetetrahydrofolate
C00417,cis_Aconitate,cis_Aconitate
C00658,trans_2_3_Dehydroacyl_CoA,trans_2_3_Dehydroacyl_CoA
C00693,trans_2_3_Dehydroacyl_acyl_carrier_protein,trans_2_3_Dehydroacyl_acyl_carrier_protein
C22932,Hydroxycitrate,Hydroxycitrate
C00058,Formate,Formate
